# name|kind|value|expected
no_principal|authentication|none|AUTHENTICATION_REQUIRED
authenticated_principal|authentication|principal-01|ACCEPT
missing_required_field|required_field|<empty>|REQUIRED_FIELD_MISSING
present_required_field|required_field|value-01|ACCEPT
unknown_enum_value|enum_value|UNKNOWN_ENUM|UNKNOWN_ENUM_VALUE
known_enum_value|enum_value|ACTIVE|ACCEPT
invalid_reason_code|reason_code|not a code|REASON_CODE_INVALID
valid_reason_code|reason_code|LEASE_EXPIRED|ACCEPT
zero_fence_token|fence_token|0|FENCE_TOKEN_INVALID
valid_fence_token|fence_token|42|ACCEPT
