# noun|from|allowed targets including idempotent replay
lease|ACTIVE|ACTIVE,RELEASING,EXPIRED,REVOKED,FAILED
lease|RELEASING|RELEASING,RELEASED,REVOKED,FAILED
lease|RELEASED|RELEASED
lease|EXPIRED|EXPIRED
lease|REVOKED|REVOKED
lease|FAILED|FAILED
worker|REGISTERED|REGISTERED,STARTING,DRAINING,STOPPED,FAILED,LOST
worker|STARTING|STARTING,RUNNING,DRAINING,STOPPED,FAILED,LOST
worker|RUNNING|RUNNING,DRAINING,STOPPED,FAILED,LOST
worker|DRAINING|DRAINING,STOPPED,FAILED,LOST
worker|STOPPED|STOPPED
worker|FAILED|FAILED
worker|LOST|LOST
operation|CREATED|CREATED,PENDING,RUNNING,CANCELLING,CANCELLED,FAILED
operation|PENDING|PENDING,RUNNING,CANCELLING,CANCELLED,FAILED,LOST
operation|RUNNING|RUNNING,SUCCEEDED,FAILED,CANCELLING,LOST
operation|SUCCEEDED|SUCCEEDED
operation|FAILED|FAILED
operation|CANCELLING|CANCELLING,CANCELLED,FAILED,LOST
operation|CANCELLED|CANCELLED
operation|LOST|LOST
